label,step,elapsed_s,window_sps,cumulative_sps,rss_mb,window_mean_reward,window_max_reward,loadavg1,resets
master_seed0,10000,19.352,516.7,516.7,148.3,0.0000,2.0000,2.86,0
master_seed0,20000,41.463,452.3,482.4,148.4,0.0000,10.0000,2.84,0
master_seed0,30000,63.425,455.3,473.0,148.6,0.0000,27.0000,3.11,0
master_seed0,40000,82.635,520.6,484.1,148.6,0.0002,132.0000,2.94,0
master_seed0,50000,103.647,475.9,482.4,148.8,-0.0002,2.0000,3.06,0
master_seed0,60000,125.019,467.9,479.9,149.0,0.0000,3.0000,8.56,0
master_seed0,70000,149.586,407.1,468.0,149.4,0.0000,238.0000,6.83,0
master_seed0,80000,172.400,438.3,464.0,149.4,0.0000,2.0000,5.60,0
master_seed0,90000,196.389,416.9,458.3,149.4,0.0000,2.0000,5.16,0
master_seed0,100000,219.661,429.7,455.2,149.5,0.0000,2.0000,4.49,0
master_seed0,110000,242.951,429.4,452.8,149.5,0.0000,2.0000,4.11,0
master_seed0,120000,265.186,449.7,452.5,149.5,0.0000,51.0000,4.96,0
master_seed0,130000,285.924,482.2,454.7,149.5,0.0000,2.0000,4.13,0
master_seed0,140000,306.848,477.9,456.3,149.6,0.0006,2.0000,4.60,0
master_seed0,150000,327.991,473.0,457.3,149.6,-0.0005,2.0000,4.69,0
master_seed0,160000,350.649,441.4,456.3,149.6,-0.0001,3.0000,3.93,0
master_seed0,170000,372.528,457.1,456.3,149.6,0.0000,56.0000,3.94,0
master_seed0,180000,394.693,451.2,456.1,149.6,0.0000,3.0000,4.16,0
master_seed0,190000,413.420,534.0,459.6,149.6,0.0000,3.0000,4.16,0
master_seed0,200000,431.957,539.5,463.0,149.6,0.0000,2.0000,4.49,0
master_seed0,210000,450.584,536.9,466.1,149.6,0.0000,3.0000,4.11,0
master_seed0,220000,469.523,528.0,468.6,149.6,0.0000,4.0000,3.86,0
master_seed0,230000,485.842,612.8,473.4,149.6,0.0000,2.0000,4.31,0
master_seed0,240000,501.959,620.4,478.1,149.6,0.0000,25.0000,3.80,0
master_seed0,250000,516.970,666.2,483.6,149.7,0.0000,2.0000,4.25,0
master_seed0,260000,533.786,594.7,487.1,149.7,0.0000,4.0000,4.07,0
master_seed0,270000,550.764,589.0,490.2,149.7,0.0000,50.0000,3.77,0
master_seed0,280000,568.369,568.0,492.6,149.8,0.0000,2.0000,3.40,0
master_seed0,290000,589.009,484.5,492.4,149.8,0.0000,2.0000,3.13,0
master_seed0,300000,605.116,620.9,495.8,149.8,0.0000,3.0000,2.95,0
master_seed0,310000,623.198,553.0,497.4,149.8,0.0000,9.0000,4.58,0
master_seed0,320000,641.962,532.9,498.5,149.8,0.0000,2.0000,4.00,0
master_seed0,330000,659.888,557.9,500.1,149.8,0.0000,2.0000,4.32,0
master_seed0,340000,675.300,648.8,503.5,149.8,0.0000,1.0000,12.87,0
master_seed0,350000,690.369,663.6,507.0,149.8,0.0000,2.0000,10.53,0
master_seed0,360000,703.832,742.8,511.5,149.8,0.0000,2.0000,9.73,0
master_seed0,370000,717.899,710.9,515.4,149.8,0.0000,2.0000,8.61,0
master_seed0,380000,731.233,750.0,519.7,149.8,0.0000,2.0000,7.44,0
master_seed0,390000,744.417,758.5,523.9,149.8,0.0000,1.0000,6.80,0
master_seed0,400000,757.437,768.1,528.1,149.9,0.0000,1.0000,6.06,0
master_seed0,410000,770.828,746.8,531.9,149.9,0.0000,2.0000,5.53,0
master_seed0,420000,784.751,718.2,535.2,149.9,0.0000,1.0000,5.34,0
master_seed0,430000,798.303,737.9,538.6,150.0,0.0000,2.0000,5.58,0
master_seed0,440000,811.635,750.1,542.1,150.0,0.0000,2.0000,4.64,0
master_seed0,450000,825.005,748.0,545.5,150.0,0.0000,2.0000,4.13,0
master_seed0,460000,838.423,745.3,548.6,150.0,0.0000,10.0000,3.80,0
master_seed0,470000,852.021,735.4,551.6,150.0,0.0001,10.0000,3.54,0
master_seed0,480000,865.477,743.2,554.6,150.0,-0.0001,2.0000,3.35,0
master_seed0,490000,878.613,761.3,557.7,150.0,0.0000,2.0000,2.99,0
master_seed0,500000,891.898,752.8,560.6,150.1,0.0000,2.0000,3.31,0
