label,step,elapsed_s,window_sps,cumulative_sps,rss_mb,window_mean_reward,window_max_reward,loadavg1,resets
mode0_1M,10000,2.968,3369.7,3369.5,124.5,0.0001,3.0000,3.51,0
mode0_1M,20000,6.031,3265.0,3316.1,124.5,-0.0001,2.0000,3.87,0
mode0_1M,30000,9.139,3217.6,3282.5,124.5,0.0000,2.0000,3.87,0
mode0_1M,40000,12.081,3399.5,3310.9,124.5,0.0000,3.0000,3.96,0
mode0_1M,50000,15.131,3279.7,3304.6,124.5,0.0000,107.0000,4.20,0
mode0_1M,60000,18.239,3217.6,3289.7,124.5,0.0000,106.0000,4.20,0
mode0_1M,70000,21.317,3248.4,3283.7,124.5,0.0000,25.0000,4.26,0
mode0_1M,80000,24.513,3130.1,3263.6,124.7,0.0000,26.0000,4.26,0
mode0_1M,90000,27.567,3274.4,3264.8,124.7,0.0000,2.0000,4.32,0
mode0_1M,100000,30.489,3422.0,3279.8,124.7,0.0000,28.0000,4.54,0
mode0_1M,110000,33.543,3274.7,3279.3,124.7,0.0000,91.0000,4.54,0
mode0_1M,120000,36.508,3373.6,3287.0,124.7,0.0000,3.0000,4.73,0
mode0_1M,130000,39.555,3282.2,3286.6,124.8,0.0000,142.0000,4.73,0
mode0_1M,140000,42.731,3148.2,3276.3,124.8,0.0000,72.0000,4.59,0
mode0_1M,150000,45.599,3487.9,3289.6,124.7,0.0000,25.0000,4.63,0
mode0_1M,160000,48.525,3417.4,3297.3,124.7,0.0000,2.0000,4.63,0
mode0_1M,170000,51.415,3460.3,3306.4,124.7,0.0000,55.0000,4.58,0
mode0_1M,180000,54.480,3263.8,3304.0,124.8,0.0002,2.0000,4.58,0
mode0_1M,190000,57.597,3208.2,3298.8,124.8,-0.0002,25.0000,4.53,0
mode0_1M,200000,60.527,3412.6,3304.3,124.8,0.0000,28.0000,4.49,0
mode0_1M,210000,63.088,3905.0,3328.7,124.8,0.0000,3.0000,4.49,0
mode0_1M,220000,65.832,3645.3,3341.8,124.8,0.0000,9.0000,4.29,0
mode0_1M,230000,68.587,3630.8,3353.4,124.8,0.0000,2.0000,4.29,0
mode0_1M,240000,71.319,3659.8,3365.2,124.8,0.0000,2.0000,4.10,0
mode0_1M,250000,74.028,3692.1,3377.1,125.0,0.0001,3.0000,4.10,0
